,Anio,Mes,Semana,Hora,Viajes,Viajes_M,Viajes_F,Edad_Usuario,Duracion
0,2011,1,1,0,152,116.0,36.0,32.4671052631579,11.709320175438593
1,2011,1,1,6,186,132.0,54.0,34.295698924731184,6.818100358422943
2,2011,1,1,7,697,549.0,148.0,34.453371592539455,8.53940698230512
3,2011,1,1,8,1825,1365.0,460.0,34.24219178082192,8.887406392694054
4,2011,1,1,9,2658,2004.0,654.0,33.06245297215952,9.02372084273892
5,2011,1,1,10,1900,1396.0,504.0,34.724736842105266,11.1102894736842
6,2011,1,1,11,1951,1444.0,507.0,35.50128139415684,13.630018793780978
7,2011,1,1,12,2156,1562.0,594.0,35.64656771799629,15.434021335807074
8,2011,1,1,13,2557,1849.0,708.0,34.73914743840438,14.553767435797154
9,2011,1,1,14,3365,2511.0,854.0,34.22109955423477,12.57989103516592
10,2011,1,1,15,3429,2594.0,835.0,34.4076990376203,12.077816661806175
11,2011,1,1,16,2882,2126.0,756.0,33.995836224843856,13.122686791579927
12,2011,1,1,17,2656,1991.0,665.0,34.02673192771084,13.017206325301217
13,2011,1,1,18,3435,2550.0,885.0,32.873944687045125,12.266855895196501
14,2011,1,1,19,3181,2380.0,801.0,32.62024520591009,11.926632086346034
15,2011,1,1,20,2363,1744.0,619.0,32.67879813796022,11.792580053604174
16,2011,1,1,21,1424,1065.0,359.0,32.622191011235955,11.656858614232217
17,2011,1,1,22,822,617.0,205.0,32.51459854014598,11.985989456609923
18,2011,1,1,23,453,344.0,109.0,32.83443708609271,11.018285504047096
19,2011,1,2,0,157,132.0,25.0,31.585987261146496,12.648195329087049
20,2011,1,2,1,1,1.0,,37.0,61.68333333333333
21,2011,1,2,6,275,208.0,67.0,34.014545454545456,7.820848484848484
22,2011,1,2,7,1094,812.0,282.0,35.040219378427786,8.083196221815959
23,2011,1,2,8,2633,1933.0,700.0,33.9589821496392,8.74932269907584
24,2011,1,2,9,3456,2525.0,931.0,33.338541666666664,9.444106867283969
25,2011,1,2,10,2195,1618.0,577.0,34.680637813211845,11.559020501138985
26,2011,1,2,11,2197,1600.0,597.0,35.44333181611288,13.461735700197217
27,2011,1,2,12,2457,1799.0,658.0,35.11436711436711,15.293413376746736
28,2011,1,2,13,2896,2102.0,794.0,34.56698895027624,15.10843116942906
29,2011,1,2,14,3723,2777.0,946.0,33.773301101262426,13.29097502014503
30,2011,1,2,15,3530,2658.0,872.0,33.95297450424929,12.986128423040592
31,2011,1,2,16,3080,2298.0,782.0,33.98409090909091,13.559253246753213
32,2011,1,2,17,2695,1990.0,705.0,33.96400742115028,13.278695114409398
33,2011,1,2,18,3458,2533.0,925.0,32.96327356853673,12.259061114324265
34,2011,1,2,19,3192,2387.0,805.0,32.65068922305765,12.421961152882204
35,2011,1,2,20,2326,1730.0,596.0,32.71883061049011,11.890369733447985
36,2011,1,2,21,1702,1248.0,454.0,32.554054054054056,11.787965139052075
37,2011,1,2,22,1061,796.0,265.0,32.07540056550424,10.577348413446419
38,2011,1,2,23,542,414.0,128.0,32.62361623616236,10.505504305043058
39,2011,1,3,0,228,189.0,39.0,32.10964912280702,12.704532163742693
40,2011,1,3,1,3,2.0,1.0,30.333333333333332,57.46666666666667
41,2011,1,3,6,357,287.0,70.0,35.056022408963585,7.736694677871146
42,2011,1,3,7,1133,851.0,282.0,34.29126213592233,8.22846425419243
43,2011,1,3,8,2792,2061.0,731.0,33.96489971346705,8.981852913085001
44,2011,1,3,9,3569,2685.0,884.0,33.56542448865228,9.779625478658833
45,2011,1,3,10,2390,1746.0,644.0,34.67029288702929,11.77105997210596
46,2011,1,3,11,2454,1761.0,693.0,34.799103504482474,13.98429774517795
47,2011,1,3,12,2616,1901.0,715.0,34.914755351681954,15.600681702344533
48,2011,1,3,13,3153,2349.0,804.0,34.547732318426895,15.675985833597634
49,2011,1,3,14,4096,3042.0,1054.0,34.17919921875,13.000520833333361
50,2011,1,3,15,4224,3139.0,1085.0,33.97017045454545,12.47559185606061
51,2011,1,3,16,3751,2726.0,1025.0,33.939749400159954,12.991464498355981
52,2011,1,3,17,3290,2433.0,857.0,34.15106382978723,12.829665653495447
53,2011,1,3,18,4260,3105.0,1155.0,32.91525821596244,11.989264475743344
54,2011,1,3,19,3920,2923.0,997.0,32.567602040816325,11.882559523809501
55,2011,1,3,20,2961,2189.0,772.0,32.294157379263766,11.856737588652498
56,2011,1,3,21,1965,1443.0,522.0,32.74198473282443,12.055810008481775
57,2011,1,3,22,1372,1032.0,340.0,32.2201166180758,11.243306608357617
58,2011,1,3,23,658,511.0,147.0,31.583586626139816,10.434498480243164
59,2011,1,4,0,262,215.0,47.0,30.97328244274809,12.372455470737918
60,2011,1,4,1,2,2.0,,27.0,42.925
61,2011,1,4,6,417,322.0,95.0,33.3621103117506,7.1053157474020745
62,2011,1,4,7,1295,961.0,334.0,34.256370656370656,8.383796653796642
63,2011,1,4,8,3106,2283.0,823.0,33.98003863490019,9.112990985189946
64,2011,1,4,9,3863,2884.0,979.0,33.53947709034429,9.701302959703169
65,2011,1,4,10,2682,1980.0,702.0,34.98583146905295,11.929269202088006
66,2011,1,4,11,2586,1907.0,679.0,34.94972931167827,13.310582624387726
67,2011,1,4,12,2804,2030.0,774.0,34.85520684736091,15.332108892058976
68,2011,1,4,13,3160,2264.0,896.0,34.393037974683544,15.74010021097044
69,2011,1,4,14,3935,2920.0,1015.0,33.74027954256671,13.787772130453165
70,2011,1,4,15,3904,2915.0,989.0,33.75742827868852,13.638639856557417
71,2011,1,4,16,3493,2574.0,919.0,33.78986544517607,13.33390113560453
72,2011,1,4,17,3027,2210.0,817.0,33.77865873802445,14.126577469441704
